Prompts
"as a marketing person, create a Home Loan offer headline in formal tone in less than 64 characters"
"as a marketing person, create a Home Loan offer headline in cheerful tone in less than 64 characters"
"as a marketing person, create a Home Loan offer headline in Humorous tone in less than 64 characters"
"as a marketing person, create a Retail loan offer headline in formal tone in less than 64 characters"
"as a marketing person, create a Retail loan offer headline in cheerful tone"
"as a marketing person, create a Retail loan offer headline in Humorous tone"
"as a marketing person, create a Fixed loan offer headline in formal tone"
"as a marketing person, create a Fixed loan offer headline in cheerful tone"
"as a marketing person, create a Fixed loan offer headline in Humorous tone"
"as a marketing person, create a Platinum credit card offer headline in formal tone in less than 64 characters"
"as a marketing person, create a Platinum credit card offer headline in cheerful tone in less than 64 characters"
"as a marketing person, create a Platinum credit card offer headline in Humorous tone in less than 64 characters"
"as a marketing person, create a Travel credit card offer headline in formal tone in less than 64 character"
"as a marketing person, create a Travel credit card offer headline in cheerful tone in less than 64 characters"
"as a marketing person, create a Travel credit card offer headline in Humorous tone in less than 64 characters"
"as a marketing person, create a Rewards credit card offer headline in formal tone in less than 64 characters"
"as a marketing person, create a Rewards credit card offer headline in cheerful tone in less than 64 characters"
"as a marketing person, create a Rewards credit card offer headline in Humorous tone in less than 64 characters"
"as a marketing person, create a regular saving offer headline in formal tone"
"as a marketing person, create a regular saving offer headline in cheerful tone"
"as a marketing person, create a regular saving offer headline in Humorous tone"
"as a marketing person, create a premier saving offer headline in formal tone in less than 64 characters"
"as a marketing person, create a premier saving offer headline in cheerful tone in less than 64 characters"
"as a marketing person, create a premier saving offer headline in Humorous tone in less than 64 characters"
"as a marketing person, create a ISA saving offer headline in formal tone"
"as a marketing person, create a ISA saving offer headline in cheerful tone"
"as a marketing person, create a ISA saving offer headline in Humorous tone"
"as a marketing person, create a investment offer headline in formal tone"
"as a marketing person, create a investment offer headline in cheerful tone"
"as a marketing person, create a investment offer headline in Humorous tone"
"as a marketing person, create a premier investment offer headline in formal tone in less than 64 characters"
"as a marketing person, create a premier investment offer headline in cheerful tone in less than 64 characters"
"as a marketing person, create a premier investment offer headline in Humorous tone in less than 64 characters"
"as a marketing person, create a Pension investment offer headline in formal tone in less than 64 characters"
"as a marketing person, create a Pension investment offer headline in cheerful tone in less than 64 characters"
"as a marketing person, create a Pension investment offer headline in Humorous tone in less than 64 characters"
